支付宝交易记录明细查询
账号:[18901829188]
起始日期:[2020-07-01 00:00:00]    终止日期:[2020-09-09 13:07:54]
---------------------------------交易记录明细列表------------------------------------
交易号                  ,商家订单号               ,交易创建时间              ,付款时间                ,最近修改时间              ,交易来源地     ,类型              ,交易对方            ,商品名称                ,金额（元）   ,收/支     ,交易状态    ,服务费（元）   ,成功退款（元）  ,备注                  ,资金状态     ,
2020090622001147411455723331_1230495734197833850_advance	,T200P1230495734195833850	,2020-09-09 10:41:37 ,                    ,2020-09-09 10:41:37 ,淘宝        ,支付宝担保交易         ,无印良品muji官方旗舰店   ,退款-无印良品 MUJI 女式 粗棉线　天竺编织 落肩T恤 等多件,108.00  ,收入      ,退款成功    ,0.00     ,0.00     ,                    ,已收入      ,
2020090922001447411457088376	,CN_V1_600040714818240236	,2020-09-09 10:41:24 ,2020-09-09 10:41:24 ,2020-09-09 10:41:24 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,浙江菜鸟供应链管理有限公司   ,菜鸟裹裹-寄件费_1593835038_3025200348833850,8.00    ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2020090922001447411457392046	,232767689444        	,2020-09-09 10:06:52 ,2020-09-09 10:06:53 ,2020-09-09 10:06:53 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,淞虹              ,7-ELEVEn上海国通消费      ,9.00    ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2020090922001447411456858297	,20090970095503399707	,2020-09-09 07:57:04 ,2020-09-09 07:57:05 ,2020-09-09 07:57:05 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,饿了么             ,淮南牛肉汤(世界路店)外卖订单     ,25.79   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
20200909301785029411 	,                    	,2020-09-09 02:05:26 ,                    ,2020-09-09 02:05:26 ,支付宝网站     ,即时到账交易          ,长城基金管理有限公司      ,余额宝-2020.09.08-收益发放 ,0.02    ,收入      ,交易成功    ,0.00     ,0.00     ,                    ,已收入      ,
2020090922001147411457248879_1234238905306833850	,T200P1234238905306833850	,2020-09-09 00:17:42 ,                    ,2020-09-09 00:17:42 ,淘宝        ,支付宝担保交易         ,niceclaup官方旗舰店  ,退款-NICE CLAUP夏季日系甜美一字领露肩女上衣中袖修身上衣earthmusic,68.81   ,收入      ,退款成功    ,0.00     ,0.00     ,                    ,已收入      ,
2020090922001147411456863648	,T200P1234238905311833850	,2020-09-09 00:17:18 ,2020-09-09 00:17:23 ,2020-09-09 00:17:23 ,淘宝        ,支付宝担保交易         ,百雀羚旗舰店          ,【99划算价】百雀羚小雀幸面膜女补水保湿修护精华面膜深层清洁旗舰店官网正品,132.36  ,支出      ,等待对方发货  ,0.00     ,0.00     ,                    ,已支出      ,
2020090922001147411456904022	,T200P1234238905310833850	,2020-09-09 00:17:18 ,2020-09-09 00:17:22 ,2020-09-09 00:17:22 ,淘宝        ,支付宝担保交易         ,ora2皓乐齿旗舰店      ,【99划算价】日本进口ora2皓乐齿超细毛软毛牙刷小刷头温和清洁牙齿牙刷3支,48.65   ,支出      ,等待对方发货  ,0.00     ,0.00     ,                    ,已支出      ,
2020090922001147411457248879	,T200P1234238905306833850	,2020-09-09 00:17:18 ,2020-09-09 00:17:21 ,2020-09-09 00:17:42 ,淘宝        ,支付宝担保交易         ,niceclaup官方旗舰店  ,NICE CLAUP夏季日系甜美一字领露肩女上衣中袖修身上衣earthmusic,68.81   ,支出      ,交易关闭    ,0.00     ,0.00     ,                    ,已支出      ,
2020090922001147411457376386	,T200P1234238905307833850	,2020-09-09 00:17:18 ,2020-09-09 00:17:22 ,2020-09-09 06:31:35 ,淘宝        ,支付宝担保交易         ,无印良品muji官方旗舰店   ,无印良品 MUJI PETG分装瓶/翻盖式 等多件,17.81   ,支出      ,等待确认收货  ,0.00     ,0.00     ,                    ,已支出      ,
